task_id,dataset_id,dataset,seed,model,n_train,n_val,n_test,accuracy,macro_f1,brier,ece,search_time_sec,fit_time_sec,inference_time_sec,selected_config_index,selected_params_json
9946,1510,wdbc,11,Logistic Regression,341,114,114,0.9912280701754386,0.9905276277523889,0.024154801704899892,0.027976776014941022,0.07591304206289351,0.004107250017113984,0.0007484590169042349,5,"{""C"": 1.0, ""class_weight"": null}"
9946,1510,wdbc,11,Random Forest,341,114,114,0.9649122807017544,0.9614864864864865,0.04806159844054581,0.04684210526315786,2.1732601249823347,0.1397150419652462,0.0258692919742316,2,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
9946,1510,wdbc,11,Extra Trees,341,114,114,0.9649122807017544,0.9614864864864865,0.0477732440751365,0.0405870128119568,1.9054125419352204,0.10419150011148304,0.028002584003843367,6,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
9946,1510,wdbc,11,HistGradientBoosting,341,114,114,0.956140350877193,0.951575906889814,0.05935712123377537,0.04067071182977573,5.08713587501552,0.6754882499808446,0.006648333976045251,2,"{""learning_rate"": 0.03, ""max_depth"": null, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}"
9946,1510,wdbc,11,MLP,341,114,114,0.9912280701754386,0.9905276277523889,0.014286522675604995,0.013255931302118646,1.388451459002681,0.2711375840008259,0.0009285419946536422,7,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.0003}"
9946,1510,wdbc,17,Logistic Regression,341,114,114,0.956140350877193,0.9521289997480473,0.047729068593385715,0.041049798303459825,0.06097754102665931,0.002599625033326447,0.0006524999625980854,3,"{""C"": 0.1, ""class_weight"": null}"
9946,1510,wdbc,17,Random Forest,341,114,114,0.956140350877193,0.9526381387619444,0.0660148148148148,0.03292397660818698,2.21821787499357,0.14292012492660433,0.014710041927173734,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
9946,1510,wdbc,17,Extra Trees,341,114,114,0.9473684210526315,0.942866688940862,0.05363537273180911,0.043748023905918546,1.8662147910799831,0.10310216597281396,0.0258207080187276,6,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
9946,1510,wdbc,17,HistGradientBoosting,341,114,114,0.956140350877193,0.9521289997480473,0.0743185032989036,0.03596629834261242,5.228470000089146,0.5076130839297548,0.007628416060470045,8,"{""learning_rate"": 0.1, ""max_depth"": null, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}"
9946,1510,wdbc,17,MLP,341,114,114,0.956140350877193,0.9521289997480473,0.07392187122613075,0.03751274926900576,1.4594042499084026,0.11003062501549721,0.0007991669699549675,12,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}"
9946,1510,wdbc,23,Logistic Regression,341,114,114,0.9736842105263158,0.9715828832571666,0.06256929681964128,0.039285930861630014,0.05753949994686991,0.003544250037521124,0.0007152910111472011,7,"{""C"": 10.0, ""class_weight"": null}"
9946,1510,wdbc,23,Random Forest,341,114,114,0.9473684210526315,0.9444805194805195,0.06315458089668616,0.041725146198830415,2.1277825409779325,0.13835370808374137,0.014739750069566071,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
9946,1510,wdbc,23,Extra Trees,341,114,114,0.9649122807017544,0.9629870129870131,0.052929665081706205,0.04109248748232244,1.7803371249465272,0.10350054106675088,0.026865333085879683,6,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
