dataset,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,brier_mean,brier_std,ece_mean,ece_std,search_time_mean,fit_time_mean
first-order-theorem-proving,Extra Trees,0.6225490196078431,0.01480765437940513,0.5134696961251124,0.021143538921430453,0.5194883411708253,0.01713327597864071,0.060364022814072694,0.03546945607078931,3.772321400186047,0.3896063165972009
first-order-theorem-proving,HistGradientBoosting,0.6158496732026144,0.012961647010336148,0.5032633078238085,0.019123796166595132,0.5303748558986496,0.009588306702238938,0.09248373184420425,0.014420989962392636,59.03913299138658,6.229798049991951
first-order-theorem-proving,Logistic Regression,0.4068627450980392,0.012227638518869084,0.34787055149147134,0.009582657747156826,0.7411024330208342,0.007713036804552691,0.06735816191267777,0.008030360665013513,0.7742170165991411,0.08438025019131597
first-order-theorem-proving,MLP,0.5687908496732026,0.017151026084699456,0.450479133022213,0.018619147664413225,0.6040144566679654,0.018170713366298642,0.1239865458120499,0.037435830659962574,32.32349567478523,3.764806583407335
first-order-theorem-proving,Random Forest,0.6241830065359477,0.00868475965092697,0.5129449066250791,0.015619686757665622,0.5105233426906525,0.008853352120643386,0.041543049605289664,0.012641338168003521,8.124779799999668,0.8529321250040084
kc1,Extra Trees,0.8663507109004739,0.01688960159355969,0.6705369592623669,0.04461099271510286,0.20152702320401045,0.020813822927933327,0.040633961254813,0.012710198152981732,2.2467322754207997,0.12912304981146003
kc1,HistGradientBoosting,0.8611374407582938,0.014079100263045461,0.674725875428564,0.03852381818102391,0.221032982565539,0.02200734625167091,0.05128544773160439,0.01620732903502551,7.424278833391145,0.7269321500090882
kc1,Logistic Regression,0.7507109004739336,0.07192245673969273,0.6333754482767355,0.029817485297050608,0.333072074880652,0.07553449333087768,0.08064498811498892,0.03809499579806979,0.11649747479241337,0.009416891797445658
kc1,MLP,0.8535545023696682,0.030595344590671848,0.6653773445880061,0.038547735621379677,0.243303838447314,0.05553991884864491,0.07947689512879767,0.04113418764048248,9.437887658225373,0.9561856584157795
kc1,Random Forest,0.8592417061611375,0.013467556624059539,0.6525993107852562,0.04134687599481656,0.20470280263370988,0.018085238634285045,0.03834928208525744,0.00916280574501515,2.886071024998091,0.1969585168175399
kc2,Extra Trees,0.8342857142857143,0.030565345782630902,0.7196910867019347,0.03698537663669094,0.2398557579486115,0.04782689148491453,0.07716310945986626,0.023940142356823613,1.8478905081981793,0.09996585864573711
kc2,HistGradientBoosting,0.8342857142857143,0.04790390986651162,0.7187100446617262,0.07404670075347103,0.2360409527443892,0.05090556583797906,0.09228306130780772,0.029907212369611736,3.907130433386192,0.3359655499691143
kc2,Logistic Regression,0.8038095238095238,0.029814239699997185,0.708291628251734,0.03869091982664842,0.2876178140551089,0.0643309100816415,0.10143776185842883,0.02808745685089083,0.07785440017469222,0.00492791663855308
kc2,MLP,0.8266666666666668,0.04587274125254211,0.694964352476729,0.08185977232224902,0.253017309213253,0.04380151365990639,0.09388556542439333,0.03265874080163225,2.860430800006725,0.3719663750147447
kc2,Random Forest,0.8342857142857143,0.04395421241605457,0.7203215114093077,0.06445444759658586,0.23365573280515176,0.041153024325960484,0.06524746236650854,0.0176893692233782,2.3562672168249263,0.1313971834024414
mfeat-morphological,Extra Trees,0.7144999999999999,0.014295978455495817,0.7110674741321739,0.014488496614930327,0.3848357283756461,0.054650910092856685,0.09090649253353991,0.026710614465660126,2.2874734167940916,0.13790262478869403
mfeat-morphological,HistGradientBoosting,0.7255,0.007158910531638155,0.7232436814081662,0.009482567404729188,0.34658460186043466,0.011413617120132993,0.0722612966892603,0.027206409524628668,65.54208594183437,5.49321534158662
mfeat-morphological,Logistic Regression,0.7535000000000001,0.018422133426940518,0.750063101299237,0.022765948769574388,0.3196954204948598,0.015046936686292449,0.05007913557021034,0.008710074491069465,0.2512780666351318,0.0331567329820245
mfeat-morphological,MLP,0.75,0.02391390808713623,0.7449010058202297,0.023908728228714222,0.31242914352746304,0.014909199681952135,0.058229913024630396,0.019850800246501887,9.194784174766392,0.9856641749618575
mfeat-morphological,Random Forest,0.7125,0.009842509842514793,0.7099437804030613,0.010591252471781058,0.3553636850446086,0.017557709563153858,0.06620758500904271,0.016858099793015897,2.824882183410227,0.18576766657643018
mfeat-zernike,Extra Trees,0.7935000000000001,0.01737455035389406,0.7893046321569243,0.0181756823523357,0.3499547817947357,0.03574935980271616,0.1901137787160212,0.05306876965922762,2.5967531747883186,0.2026644333498552
mfeat-zernike,HistGradientBoosting,0.7905,0.018907670401189024,0.791926989423289,0.018422098367252213,0.3497508211694907,0.030150336098038587,0.15955311050722662,0.016939128174147347,71.18533081659116,6.891342632961459
mfeat-zernike,Logistic Regression,0.82,0.010752906583803274,0.8179109694326627,0.009935097377523027,0.20817013662693173,0.007208641615534837,0.07037032234427773,0.022299787079725672,0.5556152331875637,0.03682444163132456
mfeat-zernike,MLP,0.8105,0.013509256086106277,0.810630634055624,0.013225005765818358,0.25897293173306146,0.03863238357945005,0.11223255514357378,0.03148360885138966,9.434917266783305,0.8845243918243796
mfeat-zernike,Random Forest,0.7805,0.018907670401189056,0.7766405828655767,0.021517293218458834,0.3235309868752182,0.02283064297997406,0.11622992071984854,0.02292336282316427,4.363464558590204,0.4135744499973953
pc1,Extra Trees,0.9414414414414415,0.012336093637503742,0.6606793099697794,0.07629323009585456,0.08714839198818648,0.010294643977101994,0.03159866123464058,0.010409939179936751,2.0416520164115353,0.11694658338092263
pc1,HistGradientBoosting,0.9414414414414415,0.010072378277026062,0.6836343882301423,0.06171751862596377,0.09206348296453848,0.013168295232520904,0.028827841285146382,0.009441895750726126,5.562232458218932,0.41831922475248573
pc1,Logistic Regression,0.8171171171171171,0.06351191615140389,0.585277820258934,0.03536628365370796,0.27509561497365087,0.08382095188522012,0.07916332582502725,0.022174944870668404,0.09002525822725141,0.00599982519634062
pc1,MLP,0.9252252252252251,0.007537477716523171,0.6412355184354297,0.061441234612321094,0.12181075509841251,0.0056641479501678286,0.05444270303119704,0.013551588697043915,5.387636324809864,0.5806733998004348
pc1,Random Forest,0.9423423423423424,0.005873155320002448,0.6637993445958605,0.036238026377243646,0.08673846163793744,0.009094381876916666,0.027001977495593736,0.006647057326657615,2.6773059082217516,0.1691087085753679
pc3,Extra Trees,0.9047923322683706,0.011825402890301533,0.6105128897409051,0.07184044609079636,0.14652613733631667,0.010567068768557841,0.03857679240311468,0.014532812185626253,2.2598741500172763,0.14206000000704075
pc3,HistGradientBoosting,0.8932907348242811,0.004845287823675148,0.580303347621605,0.040215479793797464,0.15886230780864002,0.011826052914414862,0.05055844645139122,0.011601747910360845,6.951969242002815,0.6256174670066684
pc3,Logistic Regression,0.7674121405750799,0.02770541008137867,0.6224036213878179,0.041150839405557846,0.34018228033131465,0.03760272359192248,0.06992749873619339,0.00400986491319173,0.1365352418273687,0.01440484139602626
pc3,MLP,0.8913738019169329,0.006777381289327957,0.6317563710189918,0.05221883662511857,0.1740503864192256,0.015699468766022705,0.06546858328827014,0.027810747654587017,7.942662541847676,0.9757424663985148
